data,descricao,categoria,subcategoria,valor,tipo,essencial,recorrente
2025-10-01,Salário mensal,receita,salario,5000.00,entrada,sim,sim
2025-10-02,Pagamento de aluguel,moradia,habitacao,1200.00,saida,sim,sim
2025-10-03,Compra no supermercado,alimentacao,mercado,450.00,saida,sim,sim
2025-10-05,Assinatura Netflix,lazer,streaming,55.90,saida,nao,sim
2025-10-07,Compra de medicamentos,saude,farmacia,89.00,saida,sim,nao
2025-10-10,Restaurante,alimentacao,refeicao_externa,120.00,saida,nao,nao
2025-10-12,Transporte por aplicativo,transporte,mobilidade_urbana,45.00,saida,nao,sim
2025-10-15,Conta de energia,moradia,servicos,180.00,saida,sim,sim
2025-10-20,Mensalidade academia,saude,bem_estar,99.00,saida,nao,sim
2025-10-25,Combustível transporte,transporte,combustivel,250.00,saida,sim,sim
